danceability, streams
0.514, 3528450184
0.825, 3509169565
0.501, 3029241037
0.599, 2797600939
0.52, 2580052047
0.351, 2417312282
0.548, 2351753978
0.761, 2265473708
0.826, 2250351787
0.591, 2168948336
0.776, 2120386471
0.612, 2095120431
0.755, 2063374994
0.358, 1959283644
0.701, 1900912195
0.695, 1835517061
0.442, 1834703368
0.759, 1754313045
0.572, 1726357738
0.68, 1723652960
0.644, 1691217526
0.911, 1595512799
0.563, 1575674014
0.702, 1535285482
0.841, 1526733669
0.872, 1514950341
0.617, 1501787005
0.74, 1496693200
0.561, 1491335868
0.586, 1481501062
0.621, 1466812232
0.793, 1462128533
0.637, 1438562340
0.552, 1433631368
0.429, 1431455266
0.834, 1427243939
0.336, 1395891679
0.601, 1375106266
0.778, 1365462962
0.679, 1361464477
0.731, 1340268006
0.464, 1318121018
0.687, 1317354189
0.741, 1307169473
0.511, 1267665530
0.357, 1257174222
0.896, 1255822047
0.65, 1251442060
0.609, 1250841461
0.68, 1232129792
0.715, 1231075916
0.791, 1225387792
0.746, 1218225431
0.484, 1214550980
0.677, 1213245560
0.647, 1182016397
0.459, 1178008094
0.764, 1172704805
0.414, 1159408704
0.585, 1121378253
0.748, 1116016092
0.908, 1113635578
0.824, 1111134654
0.644, 1098151668
0.714, 1094371409
0.664, 1092875383
0.694, 1089322381
0.604, 1080765946
0.795, 1060959030
0.921, 1055535621
0.52, 1052820367
0.851, 1047071580
0.726, 1014794708
0.801, 1012068903
0.803, 992766430
0.908, 992321086
0.676, 990236663
0.63, 988054874
0.38, 987929423
0.76, 984205801
0.69, 983223179
0.762, 963701105
0.621, 962294613
0.764, 956687728
0.754, 948477868
0.508, 946941612
0.719, 946917412
0.598, 946141341
0.571, 931182212
0.835, 914252896
0.816, 908062879
0.75, 908047572
0.442, 907651610
0.752, 904526701
0.772, 903754830
0.575, 893557772
0.733, 892423448
0.637, 889357102
0.853, 883072719
0.561, 883034042
0.596, 880966802
0.949, 879593971
0.737, 876789765
0.812, 872337549
0.7, 870094270
0.798, 866901978
0.935, 864655296
0.515, 863153764
0.802, 860248602
0.735, 853300418
0.668, 848716967
0.88, 848707271
0.726, 845998999
0.72, 843720506
0.704, 836716365
0.332, 834352850
0.566, 830542331
0.82, 823898696
0.559, 823526347
0.707, 823193490
0.579, 822525134
0.529, 818017175
0.762, 815556268
0.708, 814637777
0.589, 811051899
0.64, 807478795
0.486, 807262887
0.61, 802570696
0.66, 802325512
0.667, 801581593
0.8, 799944760
0.774, 797164189
0.664, 796978363
0.842, 790495138
0.573, 789854274
0.551, 786987301
0.76, 786652132
0.734, 785924030
0.758, 784711973
0.681, 780246421
0.695, 778710435
0.804, 775724415
0.788, 773314033
0.767, 772646450
0.808, 769770894
0.367, 767331263
0.765, 766350393
0.901, 766223621
0.836, 765728252
0.671, 765580936
0.798, 765387748
0.686, 765114813
0.783, 761361926
0.737, 759270487
0.728, 754921043
0.792, 753828189
0.629, 753614642
0.556, 750917723
0.615, 745669368
0.789, 744945549
0.77, 743328586
0.671, 743092114
0.525, 739716586
0.614, 739585105
0.568, 738150764
0.778, 737502479
0.714, 735600621
0.732, 730329585
0.697, 728995144
0.746, 724728961
0.609, 720836953
0.613, 720473756
0.629, 715732552
0.737, 714973753
0.626, 714909410
0.715, 714164898
0.422, 711982552
0.633, 711360661
0.835, 709056539
0.585, 707249499
0.565, 704792559
0.492, 703557767
0.704, 700984144
0.601, 700458491
0.741, 697480458
0.444, 692575781
0.87, 691040730
0.817, 688289134
0.826, 687647813
0.558, 687337926
0.787, 682073103
0.52, 681892436
0.841, 679526391
0.73, 678936475
0.774, 676999338
0.694, 676704919
0.823, 672674643
0.504, 671297751
0.696, 666819252
0.735, 664141828
0.543, 663733710
0.41, 663695650
0.806, 662695710
0.65, 661883213
0.807, 661022435
0.786, 660951538
0.801, 659725369
0.833, 658544359
0.64, 657716663
0.58, 654675084
0.847, 649281345
0.864, 647339481
0.714, 643040689
0.645, 642210489
0.744, 640286925
0.684, 639775605
0.707, 639113596
0.359, 637369229
0.685, 631284458
0.61, 630293953
0.62, 629880837
0.585, 629785737
0.884, 629681187
0.799, 627361140
0.453, 626872966
0.75, 624608788
0.865, 624439950
0.835, 622363557
0.591, 620866317
0.869, 619973040
0.783, 619183535
0.628, 616979763
0.668, 614422607
0.859, 614416637
0.395, 611454554
0.795, 610867141
0.586, 608632072
0.588, 606681465
0.577, 605801675
0.6, 604447881
0.603, 603238182
0.843, 602692790
0.74, 600199164
0.548, 597460017
0.857, 597230342
0.808, 596189578
0.794, 596042705
0.799, 594382176
0.691, 593777301
0.717, 593025420
0.712, 591285457
0.575, 588484750
0.709, 584378254
0.632, 583806587
0.778, 582781876
0.639, 581354380
0.532, 581186408
0.903, 580565818
0.824, 577050376
0.752, 576772414
0.672, 575199816
0.783, 571321774
0.464, 570566236
0.781, 570439539
0.646, 564553367
0.779, 563585904
0.784, 562351625
0.707, 562297294
0.696, 561565071
0.642, 561191462
0.672, 561157141
0.922, 557605940
0.681, 555664285
0.44, 555347680
0.369, 555071861
0.505, 554678409
0.916, 553546418
0.468, 553335810
0.876, 552086741
0.567, 550864085
0.686, 548930070
0.806, 548583436
0.914, 548082651
0.593, 547002696
0.78, 546496040
0.662, 545746256
0.72, 543732279
0.624, 542572346
0.537, 541163031
0.679, 540860115
0.561, 540741681
0.485, 540023925
0.754, 539987334
0.513, 539429341
0.768, 538744757
0.736, 536995740
0.75, 535964658
0.544, 535405134
0.234, 534994261
0.477, 533033471
0.653, 531518241
0.461, 529821512
0.652, 527426347
0.773, 525228198
0.781, 525181112
0.677, 524102489
0.346, 523787897
0.889, 522394456
0.83, 521624572
0.878, 520743203
0.449, 519289468
0.642, 517252696
0.724, 516283279
0.855, 515668834
0.83, 515489076
0.701, 514827624
0.569, 514733218
0.911, 513706149
0.511, 513053399
0.721, 512987907
0.856, 512900063
0.352, 512388123
0.797, 511902114
0.669, 510902331
0.837, 510789619
0.761, 509862535
0.831, 508783617
0.887, 508438262
0.339, 508099076
0.671, 506544287
0.652, 504372752
0.597, 504035633
0.801, 503940750
0.674, 503910352
0.869, 502279002
0.509, 500381084
0.933, 498836583
0.596, 498584862
0.635, 498270410
0.878, 497879372
0.574, 497215439
0.653, 497087870
0.715, 496149364
0.943, 494999870
0.259, 494566732
0.558, 494204874
0.584, 493933128
0.369, 493252610
0.716, 492923966
0.808, 492208947
0.756, 491633142
0.828, 490705759
0.791, 490517293
0.878, 489875519
0.588, 488574807
0.833, 487461780
0.451, 484524882
0.653, 484411361
0.754, 483558041
0.595, 483456853
0.708, 483126319
0.571, 483027771
0.733, 482280122
0.734, 481412467
0.727, 479665166
0.829, 479414025
0.768, 478330446
0.522, 476641105
0.768, 473537915
0.78, 473041960
0.657, 470759844
0.647, 470459140
0.795, 470238500
0.667, 469893023
0.645, 468625747
0.88, 468474147
0.65, 465444924
0.662, 464043121
0.755, 463208596
0.697, 463107479
0.893, 462389197
0.603, 462080101
0.671, 461870187
0.854, 461769872
0.684, 461538435
0.323, 460695880
0.673, 460094990
0.725, 460049685
0.695, 459536080
0.598, 458741117
0.761, 457430169
0.659, 457386155
0.453, 457105916
0.804, 456690515
0.715, 454946681
0.809, 451447394
0.52, 451040923
0.92, 450015953
0.535, 449496630
0.897, 448909392
0.87, 448560983
0.831, 448180674
0.733, 447488884
0.785, 446658746
0.749, 445758589
0.603, 445236412
0.638, 442696994
0.838, 441139199
0.429, 440141102
0.726, 439898870
0.643, 439792906
0.461, 439293687
0.754, 437304511
0.605, 436757540
0.842, 435087247
0.751, 432040283
0.369, 431404563
0.713, 430221400
0.551, 430024088
0.759, 427732427
0.863, 427392173
0.728, 426802733
0.79, 426117643
0.674, 425321887
0.545, 424365203
0.737, 424101353
0.553, 424000376
0.905, 423121248
0.647, 422808274
0.927, 421545020
0.753, 421527037
0.752, 420504317
0.378, 420314822
0.9, 420282616
0.724, 418157690
0.573, 417174517
0.559, 416847354
0.527, 415349166
0.739, 414370462
0.828, 413946382
0.752, 413638653
0.853, 412798895
0.745, 412250183
0.716, 411018135
0.849, 409903892
0.345, 408484215
0.715, 408392662
0.909, 407647221
0.736, 407315701
0.776, 406060550
0.607, 405534381
0.772, 405459984
0.845, 405092672
0.672, 405039911
0.486, 404690774
0.474, 403657974
0.882, 401900522
0.548, 401880746
0.784, 401473648
0.889, 401355680
0.548, 401156494
0.587, 399861973
0.491, 399410845
0.755, 398164413
0.659, 396326912
0.56, 395722726
0.511, 394900744
0.747, 394343157
0.787, 392947273
0.818, 389607075
0.532, 389223199
0.863, 388821456
0.698, 388645595
0.769, 386272122
0.498, 384882550
0.659, 382889819
0.514, 381181392
0.716, 380940478
0.778, 380720201
0.633, 379703027
0.632, 379486906
0.729, 379231112
0.67, 378596557
0.463, 378241571
0.706, 377924843
0.908, 377792869
0.706, 376569603
0.746, 375834575
0.795, 375526537
0.748, 374961417
0.625, 374847895
0.926, 373507156
0.798, 373306837
0.526, 373006602
0.522, 372862481
0.696, 371589279
0.743, 371254425
0.599, 370742739
0.881, 370287362
0.571, 369717137
0.711, 369098773
0.6, 367966603
0.706, 367963333
0.734, 367778120
0.767, 366979516
0.746, 365725976
0.795, 364119973
0.498, 364012000
0.8, 363707607
0.762, 363116541
0.593, 361967228
0.793, 360902838
0.645, 360863018
0.676, 359021893
0.673, 358694405
0.902, 358676525
0.529, 358112601
0.638, 357834761
0.841, 357822888
0.569, 356863532
0.44, 356682908
0.757, 355747971
0.317, 355367964
0.574, 355050626
0.693, 354931514
0.912, 354736338
0.703, 354403228
0.807, 353903896
0.852, 353496298
0.581, 353278785
0.703, 353272017
0.746, 352970058
0.436, 352829875
0.836, 352156501
0.791, 351433215
0.732, 350076959
0.769, 349204717
0.815, 348877795
0.728, 347773062
0.86, 347083812
0.77, 346503881
0.669, 344772188
0.663, 344412193
0.48, 344297250
0.476, 344154452
0.575, 342384804
0.567, 341706853
0.65, 341196745
0.475, 341165272
0.559, 340957078
0.936, 339921770
0.695, 338795551
0.818, 338424689
0.931, 338336204
0.652, 338108854
0.616, 337715834
0.777, 337326802
0.868, 336084126
0.8, 335855240
0.744, 335307150
0.587, 335158647
0.857, 334701158
0.655, 334425361
0.763, 333763000
0.901, 333062937
0.814, 332840904
0.694, 332662642
0.699, 332325551
0.736, 330784404
0.548, 330743458
0.596, 329925388
0.718, 329722532
0.911, 329553281
0.744, 329306934
0.663, 329087902
0.709, 329021065
0.561, 328817483
0.743, 328112360
0.725, 327618324
0.809, 327609522
0.671, 327566382
0.49, 327393680
0.579, 327263732
0.745, 326794641
0.789, 326194123
0.736, 325698091
0.489, 325515161
0.849, 324393523
0.928, 324163053
0.759, 323383320
0.775, 323263901
0.79, 322744401
0.529, 322680564
0.879, 322346777
0.774, 322326340
0.842, 321667090
0.754, 321110284
0.746, 320878246
0.744, 320153517
0.741, 320021915
0.814, 319986769
0.748, 319749277
0.638, 318997516
0.571, 318937584
0.538, 318469813
0.673, 318340781
0.634, 317863247
0.658, 317676850
0.743, 316957596
0.631, 316694792
0.884, 316685162
0.746, 316545016
0.757, 316445866
0.778, 315808037
0.511, 315056400
0.728, 313016395
0.699, 312937894
0.637, 311391244
0.564, 310932760
0.823, 310738879
0.77, 310495240
0.513, 310371402
0.643, 307940894
0.489, 307263422
0.781, 307008309
0.345, 306961058
0.876, 306908859
0.516, 305243911
0.724, 304603848
0.652, 303656390
0.816, 303506679
0.472, 302451498
0.687, 301860377
0.854, 300763502
0.786, 300595420
0.69, 300252108
0.575, 299994541
0.498, 299886818
0.795, 299148450
0.777, 299132707
0.392, 298751254
0.85, 297504390
0.891, 297338495
0.688, 297281298
0.704, 296900050
0.929, 296740960
0.712, 296423695
0.399, 296263724
0.824, 294813758
0.703, 294767929
0.498, 294652788
0.838, 293767640
0.594, 293373630
0.755, 293217637
0.762, 293073525
0.663, 292544040
0.736, 292441745
0.7, 292260155
0.854, 291859638
0.602, 291541518
0.734, 291103173
0.611, 290601751
0.752, 290515461
0.912, 290292407
0.683, 289980728
0.655, 289461144
0.448, 288826120
0.733, 288301814
0.673, 288089804
0.704, 288004994
0.773, 287702449
0.829, 287524200
0.883, 287514447
0.807, 287509626
0.788, 286542973
0.703, 286435338
0.963, 285945126
0.954, 285516533
0.321, 284858216
0.691, 284344587
0.923, 284306107
0.814, 284301504
0.755, 284236722
0.639, 283948167
0.789, 283533832
0.873, 283481699
0.747, 282900214
0.319, 282867074
0.881, 282583791
0.807, 282213371
0.861, 281786572
0.803, 281454254
0.849, 281198228
0.659, 281044084
0.743, 280960035
0.638, 280466909
0.69, 280187138
0.775, 280150549
0.829, 279796044
0.505, 279364987
0.383, 279083790
0.739, 279060284
0.786, 278981519
0.762, 277982929
0.671, 277163329
0.801, 276938241
0.671, 276728836
0.515, 276629593
0.542, 275782412
0.708, 275609604
0.63, 275592897
0.712, 275374562
0.644, 275006495
0.951, 274555823
0.707, 274409282
0.791, 274105542
0.807, 273936566
0.736, 273748687
0.683, 273701642
0.551, 272573920
0.556, 272474115
0.814, 271243697
0.683, 271143305
0.695, 270872603
0.855, 270635844
0.792, 270370249
0.732, 269979724
0.853, 269837815
0.868, 269079205
0.802, 268941873
0.568, 268508104
0.578, 268336836
0.577, 267949875
0.604, 267901089
0.545, 267349885
0.741, 267165039
0.631, 267142468
0.857, 267074325
0.847, 266589180
0.787, 265838421
0.836, 265344730
0.534, 264898638
0.315, 264169742
0.791, 264095621
0.602, 263725157
0.871, 263304636
0.783, 262903680
0.37, 262206780
0.904, 261983752
0.573, 261777805
0.78, 261324295
0.785, 261228064
0.74, 261224374
0.725, 260935748
0.605, 260749860
0.77, 260673983
0.724, 260466659
0.645, 260026645
0.589, 259992115
0.774, 259979538
0.907, 259932739
0.331, 259864680
0.759, 259370718
0.773, 259018256
0.552, 258782051
0.677, 258532843
0.782, 257068354
0.876, 256587576
0.714, 256091818
0.601, 255763292
0.448, 255089003
0.734, 254498715
0.314, 254412505
0.691, 252796579
0.815, 252702976
0.693, 252604535
0.832, 252553733
0.731, 252123145
0.812, 252039857
0.502, 251996776
0.81, 251782938
0.566, 251755921
0.71, 251639907
0.691, 251241908
0.684, 251196085
0.609, 250704323
0.572, 250319156
0.636, 249610705
0.534, 249303681
0.731, 249027688
0.788, 248937807
0.805, 248888954
0.642, 248594031
0.692, 248333427
0.72, 248139959
0.553, 248049413
0.64, 247985624
0.843, 247921257
0.728, 247835728
0.671, 245932655
0.666, 245792572
0.727, 245610870
0.599, 245198355
0.832, 244873016
0.78, 244730365
0.681, 244535854
0.542, 243636748
0.843, 243217751
0.78, 242863907
0.683, 241840065
0.892, 241608671
0.557, 240893699
0.823, 240791155
0.811, 240588336
0.732, 240018593
0.836, 239312246
0.648, 239180111
0.792, 237539689
0.761, 237516267
0.824, 237420307
0.624, 237021596
0.855, 236989664
0.676, 236909873
0.876, 236723773
0.608, 236399000
0.506, 236309833
0.637, 236288712
0.624, 236278565
0.606, 236188391
0.728, 236075663
0.657, 235216523
0.49, 235182404
0.787, 234994177
0.691, 234700960
0.647, 234554378
0.785, 233795511
0.465, 233599089
0.855, 233416006
0.635, 233123126
0.721, 232932271
0.49, 232825651
0.772, 231853720
0.685, 231781751
0.719, 231603951
0.813, 231436279
0.732, 231250740
0.703, 231136248
0.728, 231108317
0.601, 230660801
0.92, 230639270
0.747, 230305512
0.905, 230158907
0.728, 229380013
0.575, 229346469
0.483, 228896475
0.271, 228818486
0.709, 228344602
0.765, 228327005
0.4, 227960793
0.68, 227858499
0.778, 227833857
0.668, 227582925
0.453, 227539203
0.611, 227052138
0.837, 226852124
0.722, 226446002
0.831, 226108906
0.854, 225733641
0.744, 225389365
0.636, 225053949
0.588, 223732001
0.717, 223656711
0.964, 223643750
0.628, 223635908
0.73, 223591510
0.64, 223299726
0.807, 222315309
0.666, 222298679
0.848, 222221705
0.673, 222210107
0.802, 222157222
0.839, 221515806
0.574, 221368845
0.675, 221311688
0.788, 221251037
0.79, 221217583
0.672, 220725821
0.639, 220150923
0.734, 219664185
0.795, 218942317
0.793, 218508098
0.47, 218161284
0.4, 218038844
0.689, 216618108
0.351, 216450986
0.469, 216072599
0.591, 215981753
0.769, 215840858
0.791, 215481114
0.638, 215254846
0.886, 215149144
0.628, 214945458
0.675, 214921277
0.764, 214021308
0.789, 213762716
0.629, 213478112
0.776, 213376784
0.85, 213367416
0.788, 213352546
0.647, 213332425
0.822, 213251990
0.735, 212727018
0.633, 212723886
0.704, 212100771
0.4, 211709519
0.88, 211552634
0.703, 211424453
0.775, 210887962
0.63, 210746577
0.565, 210696268
0.797, 210566105
0.759, 210119346
0.877, 209890194
0.682, 209760977
0.838, 209048841
0.488, 207685691
0.593, 207535395
0.758, 207238320
0.538, 207042961
0.731, 205750257
0.805, 205582251
0.702, 205518514
0.652, 205369287
0.671, 205268468
0.824, 204524028
0.639, 203183259
0.593, 203135593
0.788, 202658149
0.591, 202148772
0.76, 201966468
0.759, 201809786
0.734, 201691098
0.792, 201461259
0.592, 201317070
0.455, 201017949
0.392, 200959299
0.953, 200599935
0.703, 200250161
0.751, 200026270
0.716, 200008794
0.855, 199535779
0.665, 199348913
0.9, 199237634
0.691, 199228985
0.685, 199222986
0.687, 199190595
0.688, 198926981
0.83, 198837542
0.422, 198554137
0.797, 198359825
0.817, 198214582
0.544, 198069229
0.696, 197739625
0.653, 197619743
0.311, 197546394
0.726, 197126834
0.828, 197095832
0.759, 196956035
0.765, 196862657
0.745, 196855318
0.701, 196164935
0.762, 196082654
0.722, 196015495
0.68, 195859338
0.284, 195715437
0.76, 195487973
0.738, 195204618
0.787, 194892764
0.647, 194892565
0.67, 194630696
0.738, 194512702
0.697, 194243479
0.8, 193989109
0.557, 193987336
0.771, 193835148
0.594, 193829906
0.698, 193790951
0.861, 193509928
0.817, 193075063
0.684, 192824494
0.421, 192755769
0.86, 192725631
0.812, 192384737
0.334, 191821332
0.794, 191159626
0.759, 191156179
0.554, 190835911
0.609, 190780738
0.795, 190680964
0.531, 190579151
0.843, 190528290
0.854, 190519051
0.635, 190243313
0.658, 190047623
0.755, 189842710
0.865, 189635884
0.665, 189409768
0.735, 189223292
0.872, 188902577
0.585, 188716156
0.905, 188630133
0.803, 188578642
0.78, 188282254
0.765, 188011040
0.731, 187932142
0.487, 187923787
0.808, 187846448
0.75, 187222211
0.585, 186980119
0.841, 186663568
0.535, 186434261
0.767, 186021054
0.905, 185427613
0.831, 185419364
0.725, 185173714
0.497, 185076199
0.635, 185034765
0.659, 184788700
0.703, 184779473
0.705, 184010851
0.763, 183774993
0.743, 182957139
0.538, 181733888
0.812, 181332514
0.696, 181095035
0.715, 180518419
0.698, 180450037
0.645, 180344827
0.788, 180167961
0.73, 179908540
0.539, 179610410
0.516, 179527000
0.732, 179525833
0.358, 179460463
0.681, 179217126
0.841, 179216735
0.719, 179009167
0.903, 178300035
0.515, 178227499
0.863, 177960206
0.499, 177453370
0.889, 177182466
0.747, 177159883
0.685, 177080627
0.755, 177022418
0.575, 176777944
0.882, 176681948
0.925, 175934137
0.561, 175784366
0.855, 175440115
0.787, 175190741
0.707, 175104640
0.753, 174858408
0.58, 174756362
0.812, 174640547
0.714, 174257702
0.802, 174044189
0.913, 173894630
0.578, 173894545
0.766, 173816541
0.919, 173104350
0.695, 173079935
0.697, 172869520
0.511, 172653529
0.699, 172520068
0.666, 172420222
0.678, 172294915
0.325, 172290670
0.784, 171923709
0.852, 171914353
0.95, 171754414
0.448, 171716993
0.617, 171568548
0.722, 171450449
0.579, 171357582
0.746, 171115738
0.663, 170627648
0.823, 170621325
0.794, 170543028
0.656, 170468423
0.771, 170257621
0.821, 170243539
0.907, 170225302
0.677, 170223914
0.686, 169949977
0.711, 169915445
0.627, 169449683
0.782, 169395831
0.625, 169361645
0.802, 169357751
0.501, 169329273
0.738, 169278501
0.688, 169093316
0.548, 168723145
0.627, 168657341
0.729, 168458417
0.817, 168292955
0.663, 168172791
0.795, 168071389
0.74, 167908409
0.688, 167765768
0.796, 167628261
0.658, 167614925
0.507, 167608632
0.801, 167232619
0.658, 167198419
0.506, 166852722
0.634, 166446408
0.841, 166292891
0.814, 166265229
0.483, 166233112
0.845, 166099722
0.706, 166059546
0.595, 165964295
0.751, 165950434
0.632, 165724104
0.697, 165537940
0.802, 165160207
0.695, 164762914
0.566, 164582177
0.637, 164574320
0.704, 164498841
0.611, 164467829
0.782, 164239151
0.845, 163573451
0.594, 162838942
0.294, 162796349
0.509, 162736371
0.727, 162606400
0.667, 162587374
0.627, 162007366
0.876, 161949111
0.6, 161746311
0.653, 161722723
0.503, 161673954
0.861, 161494265
0.499, 160854107
0.742, 160614968
0.508, 160601195
0.744, 160596557
0.838, 160485880
0.791, 160353560
0.725, 160014698
0.834, 160007880
0.681, 159941853
0.768, 159927866
0.641, 159685682
0.768, 159621801
0.73, 159466362
0.641, 159153896
0.796, 159129877
0.694, 159074214
0.38, 159068575
0.772, 158864435
0.903, 158571766
0.623, 158561490
0.628, 158504064
0.802, 158458554
0.816, 158415798
0.735, 158349189
0.6, 158238844
0.785, 158183361
0.362, 158087684
0.58, 157966171
0.575, 157957606
0.439, 157758218
0.616, 157518303
0.845, 157504067
0.818, 157402949
0.491, 157374197
0.735, 157067849
0.635, 156956150
0.852, 156834450
0.905, 156823695
0.579, 156818128
0.489, 156787721
0.666, 156741431
0.247, 156435336
0.749, 156347542
0.663, 156103508
0.878, 156041501
0.8, 155805231
0.708, 155645092
0.728, 155382778
0.627, 155331041
0.867, 155161603
0.642, 154789607
0.713, 154666537
0.798, 154558615
0.614, 154478480
0.797, 154428197
0.483, 154395594
0.523, 154159687
0.822, 153787899
0.647, 153321052
0.837, 152690838
0.817, 152530786
0.713, 152136860
0.767, 151949836
0.669, 151795324
0.704, 151384953
0.727, 151331215
0.651, 151323609
0.787, 151208518
0.72, 151201496
0.75, 150957974
0.728, 150950419
0.79, 150811295
0.796, 150704522
0.438, 150630149
0.858, 150158965
0.594, 149955246
0.772, 149564907
0.713, 149370092
0.747, 149283116
0.453, 149269919
0.73, 149170881
0.8, 148995129
0.777, 148941334
0.57, 148886221
0.589, 148551850
0.834, 148528259
0.73, 148514499
0.814, 148410249
0.696, 148180114
0.686, 148128615
0.765, 147382738
0.798, 147347524
0.614, 147087148
0.71, 147033524
0.906, 146731807
0.724, 146426168
0.816, 146378193
0.71, 146227713
0.807, 146060794
0.607, 145943519
0.693, 145797551
0.66, 145271110
0.659, 145166714
0.526, 144794103
0.729, 144249595
0.837, 143866777
0.559, 143815887
0.608, 143583353
0.763, 143340893
0.823, 143329586
0.907, 143268039
0.817, 142945619
0.518, 142939951
0.836, 142724957
0.619, 142618112
0.622, 142608843
0.531, 142530855
0.885, 142458409
0.487, 142167228
0.87, 142089402
0.508, 142070539
0.806, 142036336
0.708, 142031573
0.928, 142016895
0.728, 141937323
0.781, 141827657
0.89, 141765145
0.735, 141573769
0.654, 141442667
0.951, 141400741
0.356, 140615504
0.506, 140474129
0.675, 140471788
0.747, 140425335
0.472, 140317047
0.328, 139884605
0.88, 139610813
0.614, 139279688
0.844, 139258370
0.703, 139089148
0.836, 138999029
0.773, 138788478
0.795, 138777705
0.793, 138651995
0.912, 138606962
0.728, 138568228
0.614, 138369251
0.735, 138231128
0.535, 138137612
0.886, 138067700
