energy, streams
0.73, 3528450184
0.652, 3509169565
0.405, 3029241037
0.448, 2797600939
0.731, 2580052047
0.296, 2417312282
0.816, 2351753978
0.525, 2265473708
0.593, 2250351787
0.764, 2168948336
0.78, 2120386471
0.807, 2095120431
0.522, 2063374994
0.557, 1959283644
0.425, 1900912195
0.762, 1835517061
0.538, 1834703368
0.548, 1754313045
0.385, 1726357738
0.826, 1723652960
0.735, 1691217526
0.712, 1595512799
0.664, 1575674014
0.825, 1535285482
0.728, 1526733669
0.391, 1514950341
0.635, 1501787005
0.613, 1496693200
0.965, 1491335868
0.525, 1481501062
0.782, 1466812232
0.793, 1462128533
0.643, 1438562340
0.702, 1433631368
0.661, 1431455266
0.73, 1427243939
0.627, 1395891679
0.741, 1375106266
0.317, 1365462962
0.587, 1361464477
0.573, 1340268006
0.417, 1318121018
0.792, 1317354189
0.691, 1307169473
0.566, 1267665530
0.425, 1257174222
0.586, 1255822047
0.715, 1251442060
0.692, 1250841461
0.578, 1232129792
0.62, 1231075916
0.862, 1225387792
0.69, 1218225431
0.731, 1214550980
0.696, 1213245560
0.686, 1182016397
0.575, 1178008094
0.32, 1172704805
0.404, 1159408704
0.52, 1121378253
0.524, 1116016092
0.669, 1113635578
0.764, 1111134654
0.648, 1098151668
0.8, 1094371409
0.705, 1092875383
0.815, 1089322381
0.366, 1080765946
0.8, 1060959030
0.537, 1055535621
0.852, 1052820367
0.541, 1047071580
0.431, 1014794708
0.475, 1012068903
0.715, 992766430
0.621, 992321086
0.771, 990236663
0.804, 988054874
0.339, 987929423
0.703, 984205801
0.521, 983223179
0.7, 963701105
0.601, 962294613
0.705, 956687728
0.646, 948477868
0.43, 946941612
0.704, 946917412
0.427, 946141341
0.544, 931182212
0.679, 914252896
0.726, 908062879
0.733, 908047572
0.612, 907651610
0.488, 904526701
0.75, 903754830
0.648, 893557772
0.69, 892423448
0.678, 889357102
0.56, 883072719
0.431, 883034042
0.854, 880966802
0.661, 879593971
0.802, 876789765
0.479, 872337549
0.722, 870094270
0.676, 866901978
0.454, 864655296
0.593, 863153764
0.832, 860248602
0.478, 853300418
0.758, 848716967
0.751, 848707271
0.769, 845998999
0.63, 843720506
0.225, 836716365
0.225, 834352850
0.664, 830542331
0.452, 823898696
0.551, 823526347
0.681, 823193490
0.904, 822525134
0.673, 818017175
0.766, 815556268
0.737, 814637777
0.472, 811051899
0.647, 807478795
0.617, 807262887
0.508, 802570696
0.786, 802325512
0.373, 801581593
0.658, 799944760
0.554, 797164189
0.609, 796978363
0.801, 790495138
0.711, 789854274
0.55, 786987301
0.479, 786652132
0.874, 785924030
0.448, 784711973
0.372, 780246421
0.54, 778710435
0.674, 775724415
0.859, 773314033
0.481, 772646450
0.745, 769770894
0.111, 767331263
0.523, 766350393
0.589, 766223621
0.544, 765728252
0.636, 765580936
0.62, 765387748
0.494, 765114813
0.727, 761361926
0.86, 759270487
0.697, 754921043
0.625, 753828189
0.547, 753614642
0.538, 750917723
0.534, 745669368
0.72, 744945549
0.724, 743328586
0.845, 743092114
0.621, 739716586
0.379, 739585105
0.646, 738150764
0.632, 737502479
0.472, 735600621
0.75, 730329585
0.802, 728995144
0.765, 724728961
0.668, 720836953
0.581, 720473756
0.733, 715732552
0.846, 714973753
0.88, 714909410
0.47, 714164898
0.264, 711982552
0.927, 711360661
0.626, 709056539
0.436, 707249499
0.636, 704792559
0.675, 703557767
0.797, 700984144
0.271, 700458491
0.52, 697480458
0.0911, 692575781
0.516, 691040730
0.539, 688289134
0.773, 687647813
0.559, 687337926
0.673, 682073103
0.761, 681892436
0.738, 679526391
0.729, 678936475
0.626, 676999338
0.77, 676704919
0.586, 672674643
0.308, 671297751
0.809, 666819252
0.451, 664141828
0.677, 663733710
0.611, 663695650
0.546, 662695710
0.825, 661883213
0.893, 661022435
0.808, 660951538
0.806, 659725369
0.539, 658544359
0.533, 657716663
0.653, 654675084
0.622, 649281345
0.556, 647339481
0.728, 643040689
0.795, 642210489
0.804, 640286925
0.607, 639775605
0.681, 639113596
0.543, 637369229
0.692, 631284458
0.624, 630293953
0.574, 629880837
0.564, 629785737
0.559, 629681187
0.802, 627361140
0.655, 626872966
0.56, 624608788
0.573, 624439950
0.679, 622363557
0.764, 620866317
0.694, 619973040
0.729, 619183535
0.523, 616979763
0.712, 614422607
0.658, 614416637
0.443, 611454554
0.8, 610867141
0.616, 608632072
0.521, 606681465
0.522, 605801675
0.81, 604447881
0.67, 603238182
0.39, 602692790
0.697, 600199164
0.532, 597460017
0.8, 597230342
0.897, 596189578
0.793, 596042705
0.539, 594382176
0.631, 593777301
0.653, 593025420
0.463, 591285457
0.5, 588484750
0.548, 584378254
0.686, 583806587
0.559, 582781876
0.703, 581354380
0.623, 581186408
0.675, 580565818
0.862, 577050376
0.505, 576772414
0.52, 575199816
0.592, 571321774
0.473, 570566236
0.445, 570439539
0.736, 564553367
0.787, 563585904
0.43, 562351625
0.629, 562297294
0.817, 561565071
0.706, 561191462
0.855, 561157141
0.581, 557605940
0.594, 555664285
0.317, 555347680
0.192, 555071861
0.71, 554678409
0.583, 553546418
0.779, 553335810
0.498, 552086741
0.267, 550864085
0.735, 548930070
0.786, 548583436
0.622, 548082651
0.503, 547002696
0.689, 546496040
0.413, 545746256
0.763, 543732279
0.876, 542572346
0.421, 541163031
0.634, 540860115
0.52, 540741681
