loudness, streams
-5.934, 3528450184
-3.183, 3509169565
-5.679, 3029241037
-6.312, 2797600939
-5.338, 2580052047
-10.109, 2417312282
-4.209, 2351753978
-6.9, 2265473708
-6.401, 2250351787
-5.484, 2168948336
-4.374, 2120386471
-2.81, 2095120431
-4.368, 2063374994
-7.398, 1959283644
-10.965, 1900912195
-3.497, 1835517061
-8.55, 1834703368
-6.049, 1754313045
-6.362, 1726357738
-5.487, 1723652960
-5.747, 1691217526
-5.105, 1595512799
-5.044, 1575674014
-3.787, 1535285482
-3.37, 1526733669
-9.144, 1514950341
-6.769, 1501787005
-4.88, 1496693200
-3.673, 1491335868
-7.163, 1481501062
-5.548, 1466812232
-4.521, 1462128533
-6.571, 1438562340
-5.707, 1433631368
-7.227, 1431455266
-3.714, 1427243939
-7.463, 1395891679
-5.569, 1375106266
-10.732, 1365462962
-7.015, 1361464477
-10.059, 1340268006
-9.345, 1318121018
-2.749, 1317354189
-7.395, 1307169473
-7.23, 1267665530
-7.301, 1257174222
-6.687, 1255822047
-5.198, 1251442060
-2.958, 1250841461
-5.804, 1232129792
-6.005, 1231075916
-3.24, 1225387792
-7.956, 1218225431
-6.694, 1214550980
-6.181, 1213245560
-5.745, 1182016397
-4.858, 1178008094
-7.209, 1172704805
-9.928, 1159408704
-6.136, 1121378253
-5.599, 1116016092
-2.827, 1113635578
-4.175, 1111134654
-4.601, 1098151668
-4.808, 1094371409
-4.972, 1092875383
-4.328, 1089322381
-7.519, 1080765946
-6.32, 1060959030
-5.723, 1055535621
-5.866, 1052820367
-6.825, 1047071580
-8.765, 1014794708
-8.797, 1012068903
-3.28, 992766430
-6.638, 992321086
-3.675, 990236663
-4.183, 988054874
-7.885, 987929423
-5.412, 984205801
-8.492, 983223179
-6.021, 963701105
-5.616, 962294613
-3.463, 956687728
-5.795, 948477868
-9.475, 946941612
-4.724, 946917412
-8.764, 946141341
-10.613, 931182212
-5.329, 914252896
-3.998, 908062879
-3.18, 908047572
-7.222, 907651610
-7.05, 904526701
-3.67, 903754830
-4.891, 893557772
-5.529, 892423448
-3.798, 889357102
-4.961, 883072719
-8.81, 883034042
-5.114, 880966802
-4.244, 879593971
-4.771, 876789765
-5.678, 872337549
-3.558, 870094270
-5.041, 866901978
-7.509, 864655296
-4.801, 863153764
-4.107, 860248602
-12.472, 853300418
-5.176, 848716967
-4.258, 848707271
-5.043, 845998999
-3.547, 843720506
-14.454, 836716365
-8.697, 834352850
-5.303, 830542331
-9.796, 823898696
-7.231, 823526347
-4.325, 823193490
-2.729, 822525134
-4.711, 818017175
-3.955, 815556268
-4.045, 814637777
-8.749, 811051899
-8.114, 807478795
-7.115, 807262887
-6.682, 802570696
-4.757, 802325512
-9.389, 801581593
-6.142, 799944760
-7.909, 797164189
-6.509, 796978363
-4.167, 790495138
-6.268, 789854274
-5.339, 786987301
-5.574, 786652132
-3.158, 785924030
-9.441, 784711973
-8.237, 780246421
-5.692, 778710435
-5.453, 775724415
-2.724, 773314033
-8.52, 772646450
-5.26, 769770894
-14.084, 767331263
-4.333, 766350393
-6.713, 766223621
-5.975, 765728252
-8.117, 765580936
-7.079, 765387748
-7.093, 765114813
-3.454, 761361926
-2.652, 759270487
-4.125, 754921043
-5.609, 753828189
-13.123, 753614642
-5.408, 750917723
-6.719, 745669368
-5.652, 744945549
-5.484, 743328586
-4.93, 743092114
-7.364, 739716586
-10.48, 739585105
-6.793, 738150764
-5.6, 737502479
-7.375, 735600621
-6.366, 730329585
-6.412, 728995144
-4.41, 724728961
-4.284, 720836953
-8.588, 720473756
-5.445, 715732552
-4.51, 714973753
-2.384, 714909410
-12.638, 714164898
-7.064, 711982552
-4.468, 711360661
-5.833, 709056539
-8.761, 707249499
-8.198, 704792559
-5.456, 703557767
-5.927, 700984144
-8.688, 700458491
-7.513, 697480458
-17.665, 692575781
-8.006, 691040730
-6.349, 688289134
-4.218, 687647813
-9.222, 687337926
-4.583, 682073103
-3.093, 681892436
-7.455, 679526391
-3.434, 678936475
-4.432, 676999338
-5.335, 676704919
-6.606, 672674643
-14.958, 671297751
-8.254, 666819252
-8.374, 664141828
-4.915, 663733710
-8.271, 663695650
-6.637, 662695710
-4.645, 661883213
-3.745, 661022435
-3.702, 660951538
-5.206, 659725369
-7.399, 658544359
-6.596, 657716663
-3.818, 654675084
-6.747, 649281345
-7.683, 647339481
-4.595, 643040689
-12.095, 642210489
-6.327, 640286925
-8.127, 639775605
-4.325, 639113596
-7.582, 637369229
-5.122, 631284458
-4.773, 630293953
-7.788, 629880837
-7.063, 629785737
-7.442, 629681187
-5.196, 627361140
-4.22, 626872966
-8.094, 624608788
-5.501, 624439950
-5.329, 622363557
-5.484, 620866317
-3.35, 619973040
-3.549, 619183535
-8.307, 616979763
-5.927, 614422607
-4.79, 614416637
-9.72, 611454554
-6.32, 610867141
-7.964, 608632072
-9.461, 606681465
-6.594, 605801675
-4.749, 604447881
-3.882, 603238182
-7.899, 602692790
-4.912, 600199164
-7.596, 597460017
-4.035, 597230342
-3.712, 596189578
-4.521, 596042705
-6.351, 594382176
-6.478, 593777301
-5.634, 593025420
-7.399, 591285457
-7.594, 588484750
-8.493, 584378254
-7.665, 583806587
-7.109, 582781876
-6.33, 581354380
-9.208, 581186408
-3.445, 580565818
-3.424, 577050376
-7.621, 576772414
-7.747, 575199816
-8.332, 571321774
-10.086, 570566236
-6.061, 570439539
-7.118, 564553367
-4.305, 563585904
-8.756, 562351625
-4.581, 562297294
-3.862, 561565071
-6.872, 561191462
-3.764, 561157141
-7.495, 557605940
-7.028, 555664285
-9.258, 555347680
-12.151, 555071861
-3.015, 554678409
-8.067, 553546418
-4.839, 553335810
-7.511, 552086741
-6.502, 550864085
-4.616, 548930070
-3.831, 548583436
-6.538, 548082651
-6.725, 547002696
-5.668, 546496040
-7.357, 545746256
-4.068, 543732279
-3.374, 542572346
-8.72, 541163031
-5.024, 540860115
-9.342, 540741681
-10.711, 540023925
-9.211, 539987334
-4.075, 539429341
-4.323, 538744757
-11.462, 536995740
-4.008, 535964658
-9.514, 535405134
-11.656, 534994261
-4.931, 533033471
-6.428, 531518241
-4.868, 529821512
-5.714, 527426347
-5.946, 525228198
-5.991, 525181112
-6.806, 524102489
-6.097, 523787897
-6.365, 522394456
-8.82, 521624572
-5.56, 520743203
-8.964, 519289468
-7.091, 517252696
-5.642, 516283279
-6.276, 515668834
-6.476, 515489076
-3.671, 514827624
-4.076, 514733218
-2.248, 513706149
-5.745, 513053399
-7.037, 512987907
-4.892, 512900063
-5.23, 512388123
-9.74, 511902114
-10.068, 510902331
-11.713, 510789619
-8.871, 509862535
-4.045, 508783617
-14.52, 508438262
-11.714, 508099076
-3.094, 506544287
-4.019, 504372752
-6.658, 504035633
-5.115, 503940750
-7.567, 503910352
-5.595, 502279002
-5.438, 500381084
-6.472, 498836583
-10.278, 498584862
-5.379, 498270410
-6.832, 497879372
-8.209, 497215439
-9.016, 497087870
-4.647, 496149364
-4.911, 494999870
-6.589, 494566732
-7.081, 494204874
-7.786, 493933128
-9.018, 493252610
-6.257, 492923966
-4.863, 492208947
-6.377, 491633142
-9.744, 490705759
-5.886, 490517293
-5.56, 489875519
-5.595, 488574807
-8.795, 487461780
-14.014, 484524882
-4.057, 484411361
-8.463, 483558041
-4.736, 483456853
-5.626, 483126319
-8.234, 483027771
-6.009, 482280122
-4.485, 481412467
-3.805, 479665166
-5.389, 479414025
-6.671, 478330446
-7.355, 476641105
-5.11, 473537915
-3.613, 473041960
-9.049, 470759844
-8.308, 470459140
-3.971, 470238500
-5.371, 469893023
-10.8, 468625747
-8.28, 468474147
-4.645, 465444924
-6.894, 464043121
-4.502, 463208596
-2.881, 463107479
-3.105, 462389197
-4.023, 462080101
-6.941, 461870187
-8.262, 461769872
-4.392, 461538435
-4.008, 460695880
-3.495, 460094990
-3.726, 460049685
-4.654, 459536080
-8.659, 458741117
-6.9, 457430169
-5.673, 457386155
-11.639, 457105916
-4.067, 456690515
-3.046, 454946681
-11.377, 451447394
-5.338, 451040923
-3.356, 450015953
-7.805, 449496630
-6.903, 448909392
-5.253, 448560983
-9.998, 448180674
-10.489, 447488884
-8.756, 446658746
-8.433, 445758589
-4.023, 445236412
-5.804, 442696994
-3.562, 441139199
-7.746, 440141102
-5.29, 439898870
-6.458, 439792906
-4.954, 439293687
-4.627, 437304511
-4.833, 436757540
-5.065, 435087247
-4.372, 432040283
-10.497, 431404563
-4.637, 430221400
-7.595, 430024088
-5.187, 427732427
-4.689, 427392173
-4.424, 426802733
-4.185, 426117643
-2.853, 425321887
-7.362, 424365203
-4.546, 424101353
-6.319, 424000376
-14.505, 423121248
-10.05, 422808274
-4.441, 421545020
-3.061, 421527037
-4.399, 420504317
-4.066, 420314822
-8.575, 420282616
-3.617, 418157690
-7.621, 417174517
-5.276, 416847354
-5.298, 415349166
-4.256, 414370462
-6.414, 413946382
-7.621, 413638653
-3.287, 412798895
-10.425, 412250183
-7.355, 411018135
-4.407, 409903892
-9.918, 408484215
-5.102, 408392662
-3.974, 407647221
-3.299, 407315701
-6.018, 406060550
-4.074, 405534381
-6.657, 405459984
-4.798, 405092672
-4.035, 405039911
-7.924, 404690774
-5.884, 403657974
-4.027, 401900522
-5.827, 401880746
-6.34, 401473648
-7.773, 401355680
-5.732, 401156494
-6.64, 399861973
-4.309, 399410845
-6.247, 398164413
-4.649, 396326912
-7.648, 395722726
-7.23, 394900744
-2.867, 394343157
-5.009, 392947273
-5.119, 389607075
-5.697, 389223199
-4.158, 388821456
-4.946, 388645595
-5.472, 386272122
-16.541, 384882550
-4.202, 382889819
-9.642, 381181392
-7.648, 380940478
-6.865, 380720201
-6.182, 379703027
-7.644, 379486906
-5.266, 379231112
-4.031, 378596557
-4.474, 378241571
-6.923, 377924843
-6.063, 377792869
-6.864, 376569603
-4.669, 375834575
-6.903, 375526537
-6.621, 374961417
-5.181, 374847895
-5.314, 373507156
-5.041, 373306837
-5.3, 373006602
-6.287, 372862481
-6.756, 371589279
-5.015, 371254425
-7.058, 370742739
-4.898, 370287362
-7.38, 369717137
-4.389, 369098773
-8.339, 367966603
-4.775, 367963333
-7.066, 367778120
-4.47, 366979516
-6.745, 365725976
-5.211, 364119973
-4.721, 364012000
-4.818, 363707607
-3.541, 363116541
-8.296, 361967228
-3.417, 360902838
-4.757, 360863018
-5.831, 359021893
-8.056, 358694405
-5.902, 358676525
-4.629, 358112601
-6.664, 357834761
-7.846, 357822888
-2.777, 356863532
-9.258, 356682908
-5.794, 355747971
-16.485, 355367964
-8.209, 355050626
-7.159, 354931514
-8.074, 354736338
-4.661, 354403228
-4.156, 353903896
-2.921, 353496298
-5.239, 353278785
-5.482, 353272017
-16.169, 352970058
-8.37, 352829875
-6.305, 352156501
-3.695, 351433215
-6.366, 350076959
-3.909, 349204717
-6.04, 348877795
-4.424, 347773062
-5.16, 347083812
-8.393, 346503881
-5.603, 344772188
-3.51, 344412193
-6.335, 344297250
-5.309, 344154452
-5.029, 342384804
-6.471, 341706853
-6.13, 341196745
-7.725, 341165272
-5.338, 340957078
-6.71, 339921770
-6.334, 338795551
-4.282, 338424689
-9.127, 338336204
-13.336, 338108854
-3.069, 337715834
-4.449, 337326802
-6.044, 336084126
-7.343, 335855240
-2.396, 335307150
-7.365, 335158647
-6.376, 334701158
-5.309, 334425361
-6.865, 333763000
-8.304, 333062937
-5.957, 332840904
-2.986, 332662642
-5.507, 332325551
-7.83, 330784404
-7.596, 330743458
-7.346, 329925388
-4.366, 329722532
-7.43, 329553281
-5.35, 329306934
-8.399, 329087902
-4.867, 329021065
-4.409, 328817483
-4.813, 328112360
-5.013, 327618324
-6.678, 327609522
-7.226, 327566382
-11.577, 327393680
-4.823, 327263732
-6.257, 326794641
-4.248, 326194123
-7.409, 325698091
-4.929, 325515161
-9.579, 324393523
-9.35, 324163053
-6.039, 323383320
-4.703, 323263901
-5.983, 322744401
-7.013, 322680564
-4.219, 322346777
-2.888, 322326340
-5.065, 321667090
-4.249, 321110284
-4.41, 320878246
-4.876, 320153517
-5.445, 320021915
-3.023, 319986769
-3.02, 319749277
-4.722, 318997516
-4.089, 318937584
-5.355, 318469813
-4.733, 318340781
-4.945, 317863247
-6.068, 317676850
-4.042, 316957596
-7.071, 316694792
-8.227, 316685162
-4.41, 316545016
-3.46, 316445866
-3.598, 315808037
-5.745, 315056400
-4.424, 313016395
-4.943, 312937894
-4.333, 311391244
-3.221, 310932760
-2.627, 310738879
-3.748, 310495240
-10.863, 310371402
