tempo, streams
171.005, 3528450184
95.977, 3509169565
109.891, 3029241037
95.05, 2797600939
173.93, 2580052047
115.284, 2417312282
95.39, 2351753978
80.87, 2265473708
98.083, 2250351787
169.928, 2168948336
124.949, 2120386471
124.053, 2095120431
89.96, 2063374994
85.043, 1959283644
135.128, 1900912195
120.042, 1835517061
122.758, 1834703368
116.967, 1754313045
95.799, 1726357738
118.051, 1723652960
88.98, 1691217526
92.005, 1595512799
166.928, 1575674014
102.977, 1535285482
130.049, 1526733669
134.021, 1514950341
103.019, 1501787005
75.023, 1496693200
128.04, 1491335868
133.629, 1481501062
128.033, 1466812232
123.95, 1462128533
97.008, 1438562340
169.994, 1433631368
173.372, 1431455266
155.008, 1427243939
150.273, 1395891679
153.96, 1375106266
140.048, 1365462962
186.003, 1361464477
109.928, 1340268006
67.528, 1318121018
100.015, 1317354189
150.087, 1307169473
83.903, 1267665530
102.078, 1257174222
116.971, 1255822047
106.672, 1251442060
116.959, 1250841461
145.038, 1232129792
97.95, 1231075916
123.994, 1225387792
89.977, 1218225431
101.654, 1214550980
90.03, 1213245560
79.928, 1182016397
111.881, 1178008094
91.019, 1172704805
71.105, 1159408704
159.801, 1121378253
95.01, 1116016092
112.238, 1113635578
107.998, 1111134654
179.951, 1098151668
134.002, 1094371409
122.016, 1092875383
88.931, 1089322381
141.981, 1080765946
116.032, 1060959030
128.009, 1055535621
140.267, 1052820367
124.959, 1047071580
144.026, 1014794708
98.047, 1012068903
101.085, 992766430
150.011, 992321086
99.048, 990236663
123.146, 988054874
100.607, 987929423
95.997, 984205801
100.028, 983223179
116.073, 963701105
116.735, 962294613
110.97, 956687728
176.089, 948477868
130.09, 946941612
133.002, 946917412
76.469, 946141341
132.052, 931182212
124.98, 914252896
136.048, 908062879
111.018, 908047572
180.917, 907651610
136.041, 904526701
114.061, 903754830
75.977, 893557772
116.992, 892423448
84.039, 889357102
134.066, 883072719
143.875, 883034042
120.274, 880966802
104.504, 879593971
144.015, 876789765
169.922, 872337549
90.989, 870094270
101.956, 866901978
133.073, 864655296
94.467, 863153764
124.997, 860248602
107.682, 853300418
147.989, 848716967
117.948, 848707271
97.985, 845998999
179.974, 843720506
120.006, 836716365
81.055, 834352850
128.945, 830542331
117.401, 823898696
143.008, 823526347
117.999, 823193490
82.014, 822525134
165.921, 818017175
130.001, 815556268
91.986, 814637777
67.196, 811051899
92.979, 807478795
138.015, 807262887
178.818, 802570696
177.833, 802325512
